Sauteed Asparagus with Red Onion ,$2.00,4 OZ,58.0,29,2.5
Fattoush Greek Salad ,$6.50,1 EA,223.0,34,6.9
Berbere Beef Meatball ,$6.00,5 OZ,221.0,37,19.7
Egyptian Style Edamame Spinach Falafel ,$2.00,3 OZ,78.0,39,5.1
Pomegranate Blueberry Smoothie ,$6.00,16 EACH,240.69,40,10.83
Acai Bowl ,$7.25,1 BOWL,408.0,56,6.1
Apple Kale Smoothie ,$6.00,16 EACH,343.25,57,13.71
Strawberry Mango Smoothie ,$6.00,16 EACH,339.81,57,12.09
Green Beans w/ Mushrooms & Almonds ,$2.00,4 OZ,115.0,58,3.6
Herbed Roasted Red Potatoes ,$2.00,4 OZ,120.0,60,2.6
Power House ,$6.50,1 EA,407.0,63,11.7
Rotisserie Harissa Chicken ,$6.00,6 OZ,385.0,64,35.8
Spicy Thai Salad ,$6.50,1 EA,476.0,73,25.4
Strawberry Spinach ,$6.50,1 EA,599.0,92,14.0
Vegetarian ,$8.50,1 ROUND,813.0,96,41.1
Southwest ,$8.50,1 ROUND,843.0,99,45.6
Fire Roasted Torrey's Chicken Wings ,$7.00,18 OZ,700.0,100,35.8
3rd Kitchen House Salad ,$6.50,1 EA,675.0,104,34.2
Cattleman ,$10.50,1 ROUND,1093.0,104,70.5
Mushroom & Sausage ,$8.50,1 ROUND,895.0,105,50.2
Jalapeno Kale Caesar ,$6.50,1 EA,730.0,112,39.9
The Full Ride ,$10.50,1 ROUND,1278.0,122,54.2
Margherita ,$7.00,1 ROUND,854.0,122,44.7
Chicken Artichoke ,$8.50,1 ROUND,1041.0,122,60.6
Artichoke & Spinach ,$8.50,1 ROUND,1055.0,124,43.7
Apple & Fennel Coleslaw ,$2.00,4 OZ,253.0,126,1.2
Cheese Pizza ,$6.00,1 ROUND,766.0,128,39.5
Pomegranate Berry Spread ,$1.00,2 OZ,132.0,132,2.7
Margherita ,$3.25,1 SLICE,443.0,136,21.2
Vegetarian ,$3.25,1 SLICE,446.0,137,23.1
Cheese Pizza ,$3.00,1 SLICE,425.0,142,21.7
Vegetarian ,$17.95,1 PIE,2647.0,147,138.3
Garlic Cuscinos (Pillows) ,$2.95,7 PORTN,436.14,148,10.76
The 4.0 ,$8.50,1 ROUND,1272.0,150,51.9
Buffalo Chicken Pizza ,$4.00,1 SLICE,655.0,164,32.8
Pepperoni ,$3.50,1 SLICE,577.0,165,29.5
Margherita ,$15.95,1 PIE,2648.0,166,108.9
Sundried Tomato & Spinach Spread ,$1.00,2 OZ,166.0,166,3.7
Lemon Couscous w/ Spinach and Scallions ,$2.00,4 OZ,342.0,171,11.3
Sweet Chipotle Spread ,$1.00,2 OZ,171.0,171,3.5
Cheese Pizza ,$14.95,1 PIE,2550.0,171,130.0
Mushroom and Chicken Sausage ,$17.95,1 PIE,3096.0,172,173.6
Nutella Gone Bananas Spread ,$1.00,2 OZ,185.0,185,3.1
Pepperoni Pizza ,$17.95,1 PIE,3463.0,193,177.1
